1258,gel pens,1,rollerball pens,1,wooden pencils,1
1261,mechanical pencils,1,mechanical,1,highlighters,1
1264,permanent,2,permanent markers,1,dry-erase,1
1267,dry-erase markers,1,penceil erasers,1,pencil erasers,1
1270,penecil,1,correction tape,1,correction fluid,1
1273,spiral,2,spiral notebooks,1,composition,1
1276,composition books,1,journals,1,planners,1
1279,sketch,1,sketchbooks,1,copying paper,1
1282,printed paper,1,cardstock,1,watercolor,1
1285,watercolor paints,1,paints,1,crayons,1
1288,colored pencils,1,pastels,1,oil pastels,1
1291,brushes,1,watercolor brushes,1,acrylic,2
1294,acrylic brushes,2,acrylic brushes,2,palette,1
1297,drawing pads,1,canvas,3,edge ruler,1
1300,flexible ruler,1,straight edge rulers,1,flexible rulers,1
1303,protractor,1,compass,2,divider tabs,1
1306,divider,1,accessories,3,accessory,2
1309,pen ink,1,black ink,1,red ink,1
1312,carbon ink,1,refillable pen,1,ink bottles,1
1315,calligraphy,1,handwriting supplies,1,dip pens,1
1318,felt tip pens,1,writting bush,1,writting brush,2
1321,writting brush,2,Chinese brush,1,brush pen,1
1324,calligraphy ink,1,practice sheets,1,post-it,1
1327,label makers,1,scissors,2,hole punch,1
1330,transparent tape,1,glue stick,1,noun,2
1333,drag abuse,1,drug abuse,1,cannabis,1
1336,heroin,1,morphine,2,opium,1
1339,cocaine,1,dolantin,1,MDMA,2
1342,crystal methamphetamine,1,methamphetamine,2,caffeine,2
1345,ketamine,1,marijuana,1,boo,1
1348,cheeba,1,pot,2,hemp,2
1351,hashins,1,hashish,1,jay smoke,1
1354,pothead,1,pot smoker,1,grasshopper,3
1357,reefer,1,skag,1,skag jones,1
1360,jones,1,LSD,1,lysergic acid diethylamide,1
1363,pusher,1,bagman,1,chiba,1
1366,chiba shop,1,acetorphine,1,narcotine,1
1369,pep pill,1,amphetamine,1,ecstasy,1
1372,MDMA,2,stimulant,1,sedative,1
1375,nicotine,1,drug lords,1,narcotics,1
1378,anti-narcotics,1,bureau,4,narcotics control bureau,1
1381,anti-narcotics police,1,rings,1,cartels,1
1384,drug trafficking rings,1,drug trafficking cartels,1,drug rehabilitation center,1
1387,rehabilitation,3,rehab center,1,addict,1
1390,addiction,1,drug smuggler,1,mules,1
1393,drug mules,1,drug trafficker,1,methamphetamine hydrochloride,1
1396,hydrochloride,2,methamphetamine,2,nitrous,1
1399,nitrous oxide,1,thrive,1,emit,1
1402,anesthesia,1,inhaling,1,laughing gas,1
1405,Herrenrasse,2,Herrenrasse,2,Untermensch,1
1408,locust,1,mosquitoes,2,crocodiles,1
1411,guyana,1,parasites,1,luminary,3
1414,Oryon,1,Zack,1,fungus,2
1417,imperious,1,appeal,2,food allergens,1
1420,peanuts,2,tree nuts,1,gluten,3
1423,walnuts,2,almonds,3,pistachios,2
1426,macadamias,1,hazelnuts,2,preservatives,1
1429,cashews,2,shellfish,1,shrimp,4
1432,crab,2,lobster,3,tuna,4
1435,salmon,3,gluten,3,sulphites,1
1438,cellulose,1,lignin,1,nitrites,1
1441,pregnance,1,pregnancy,3,pregant,1
1444,pregnant,2,conceive,2,conception,2
1447,gestation,2,lupin,1,allergens,1
1450,mites,2,dust mites,1,dander,1
1453,cat dander,2,cat dander,2,dog dander,1
1456,cat hair,1,dog hair,1,pollen,1
1459,weed,1,weed pollen,2,weed pollen,2
1462,spores,1,mold,1,mold spores,1
1465,cockroach,2,particles,1,electron,2
1468,proton,3,medication,1,penicillin,3
1471,aspirin,5,ibuprofen,4,antibiotics,4
1474,sulfa drug,1,anesthetics,1,lidocaine,1
1477,insulin,3,chemotherapy,1,radiotherapy,1
1480,therapy,2,grief,1,insect,1
1483,beetles,2,dice,1,glucose,2
1486,dextrose,2,dextrose,2,electrolyte,2
1489,lithium-ion,1,solvent,1,polar sovent,1
1492,polar solvent,1,deposition,2,vacuum deposition,1
1495,inorganic,2,inorganic acid,1,organic acid,1
1498,polyanion,1,polycation,1,cation,1
1501,cationic,1,anionic,1,anion,1
1504,insection,1,inseption,1,inception,1
1507,bee stings,1,wasp stings,1,wasp,2
1510,formaldehyde,2,perfumes,3,fragrances,1
1513,shrubby,1,shrubby plant,1,nickel,3
1516,chromium,3,cobalt,4,epinephrine,2
1519,epinephrine auto-injector,1,cold,1,common cold,1
1522,influenza,1,flu,1,asthma,2
1525,allergies,2,rhinitis,1,nasitis,1
1528,naso-ocular,1,ocular,1,prescription,1
1531,nasal sprays,1,allergic rhinitis,1,eczema,4
1534,AR,1,deviated septum,1,nasal septum,1
1537,septum,1,deviated,1,deviate,1
1540,rectifying,1,inferior,1,convenient,1
1543,conventional,5,inferiority,2,superiority,2
1546,confidence,2,urticaria,1,hives,1
1549,acute,3,acute urticaria,1,chronic,2
1552,autoimmune,1,immune,1,clinical,3
1555,cholinergic,1,cholinergic ueticaria,2,cholinergic ueticaria,2
1558,cholinergic urticaria,1,hypothesis,2,hypertension,2
1561,hypotension,2,systemic,3,diabetes,2
1564,coronary,1,artery,2,coronary artery disease,1
1567,heart failure,1,stroke,1,arthritis,2
1570,osteoarthritis,1,rheumatoid,1,rheumatoid arthritis,1
1573,arthrosynovitis,1,migraine,3,depression,2
1576,anxiety disorder,1,disorder,1,COPD,1
1579,chronic,2,obstructive,1,obstruct,1
1582,pulmonary,1,bronchitis,2,pneumonia,2
1585,GERD,1,IBS,1,irritable,1
1588,reflux,1,bowel,1,syndrome,2
1591,thyroid,2,hypothyroidism,1,hyerthyroidism,1
1594,hyperthyroidism,1,kidney,3,kidey,1
1597,kindey,2,essence,2,POF,1
1600,tonifying,1,curative,1,kidney stones,1
1603,liver disease,1,hepatitis,1,HAV,1
1606,HBV,1,HCV,1,vaccine,1
1609,swine-flu,1,bird flu,1,cirrhosis,1
1612,obesity,1,psoriasis,1,acne,2
1615,cancer,1,breast cancer,1,prostate,2
1618,prostate cancer,1,amoxicillin,4,azithromycin,2
1621,cephalexin,2,clindamycin,1,vancomycin,2
1624,relievers,1,pain relievers,2,acetaminophen,3
1627,ototoxicity,1,toto,1,salicylate,1
1630,aspirin,5,salicylic acid,1,nicotinylsalicylic acid,1
1633,salicin,1,citric,1,citric acid,2
1636,salicin acid,1,acetosalicylic acid,2,acetosalicylic acid,2
1639,acetylsalicylic acid,3,acetylsalicylic acid,3,ibuprofen,4
1642,naproxen,1,antihistamines,1,histamine,3
1645,loratadine,1,claritin,1,cetirizine,2
1648,fexofenadine,1,antidepressants,1,fluoxetinie,1
1651,fluoxetine,1,sertraline,1,escitalopram,1
1654,diabetes medications,1,metformin,1,insulin,3
1657,glipizide,1,cardiovascular,1,cardiovascular medications,2
1660,cardiovascular medications,2,atorvastatin,1,amlodipine,1
1663,lisinopril,1,respiratory medications,2,respiratory medications,2
1666,respiratory,3,gastrointestinal,1,intestinal,1
1669,gastral,1,stomach,2,gastrointestinal medications,2
1672,gastrointestinal medications,2,omeprazole,1,simuth,1
1675,bismuth,2,subsalicylate,1,bismuth subsalicylate,1
1678,aspirin,5,acetylsalicylic acid,3,acetylsalicylic,1
1681,hydrocortisone,1,lozenges,2,zinc lozenges,1
1684,USFDA,1,FBI,1,bureau,4
1687,federal,1,cefixime,3,capsules,1
1690,cefixime capsules,1,aucklan,1,berberine,2
1693,tablets,1,aucklan dia,1,compound aucklan dia and,1
1696,Colloquial,2,Colloquial Expressions,1,Academic Terminology,1
1699,terminology,3,pillow,4,sheet,1
1702,comforter,3,quilt,2,duvet,2
1705,pillowcase,2,bed sheet,2,fitted sheet,1
1708,bed cover,1,pillow towel,1,towel,3
1711,throw,2,bolster,1,curtain,2
1714,towel blanket,1,quilt cover,1,bedspread,2
1717,mattress,3,alkali,2,alkali metal,2
1720,alkaline,2,alkaline earth metal,2,hydrogen,2
1723,helium,1,lithium,1,beryllium,1
1726,boron,1,carbon,1,nitrogen,2
1729,oxygen,2,fluorine,1,neon,1
1732,sodium,2,magnesium,1,natron,1
1735,aluminium,2,silicon,1,flint,2
1738,phosphorus,2,sulfur,3,chlorine,2
1741,argon,1,potassium,3,calcium,1
1744,scandium,1,titanium,1,vanadium,1
1747,chromium,3,manganese,2,iron,2
1750,ferrum,2,cobalt,4,nickel,3
1753,copper,1,cuprum,1,zinc,1
1756,gallium,1,germanium,1,arsenic,2
1759,selenium,3,bromine,1,krypton,1
1762,rubidium,1,strontium,1,yttrium,1
1765,zirconium,1,niobium,1,molybdenum,2
1768,technetium,1,ruthenium,1,rhodium,1
